x_pressure, y_pressure,x_void_fraction, y_void_fraction
0,12000000,0.08829116,0
0.063988095,10688524.59,0.313376722,0.021150004
0.089781746,9377049.18,0.356365536,0.041263645
0.104166667,9344262.295,0.401204666,0.088481314
0.140873016,9278688.525,0.428350604,0.119317673
0.188988095,9245901.639,0.446529609,0.168843203
0.287698413,8983606.557,0.456112694,0.210488293
0.357638889,8754098.361,0.460321148,0.25177375
0.402777778,8491803.279,0.464578913,0.339844909
0.42906746,8163934.426,,
0.449404762,7803278.689,,
0.453869048,7606557.377,,
0.46031746,7278688.525,,
0.463293651,6852459.016,,
